O_norm,O_normalized_norm,O_rank_primary,basis_index,finite,method,opaque_direction_id,seed
0.8805740076296306,2.2783868498191473,3,0,True,ERM,u000,10
0.884377893582316,2.2882289796773065,3,1,True,ERM,u001,10
0.0,0.0,3,2,True,ERM,u002,10
0.16749870018510865,0.43338417050354705,3,3,True,ERM,u003,10
0.0,0.0,3,4,True,ERM,u004,10
0.8824780001705435,2.283313217767535,3,-1,True,ERM,u005,10
0.8824780001705435,2.283313217767535,3,-1,True,ERM,u006,10
0.6240061781685345,1.6145462598563,3,-1,True,ERM,u007,10
0.6240061781685345,1.6145462598563,3,-1,True,ERM,u008,10
0.11843946674082277,0.3064488858219651,3,-1,True,ERM,u009,10
0.11843946674082277,0.3064488858219651,3,-1,True,ERM,u010,10
0.7676858983480829,1.9527338586129945,3,0,True,IRMv1,u000,10
0.7762936322935383,1.9746290289650776,3,1,True,IRMv1,u001,10
0.0,0.0,3,2,True,IRMv1,u002,10
0.42169002274380957,1.0726371124219272,3,3,True,IRMv1,u003,10
0.0,0.0,3,4,True,IRMv1,u004,10
0.7720017623237652,1.9637119601159891,3,-1,True,IRMv1,u005,10
0.7720017623237652,1.9637119601159891,3,-1,True,IRMv1,u006,10
0.5458876812270996,1.388554043295143,3,-1,True,IRMv1,u007,10
0.5458876812270996,1.388554043295143,3,-1,True,IRMv1,u008,10
0.2981798746408572,0.7584689759459018,3,-1,True,IRMv1,u009,10
0.2981798746408572,0.7584689759459018,3,-1,True,IRMv1,u010,10
0.5710861204787807,2.118855640972233,3,0,True,VREX,u000,10
0.5785062834763931,2.1463860845614473,3,1,True,VREX,u001,10
0.0,0.0,3,2,True,VREX,u002,10
0.19803626275460484,0.7347582744663198,3,3,True,VREX,u003,10
0.0,0.0,3,4,True,VREX,u004,10
0.5748081754051405,2.132665286827597,3,-1,True,VREX,u005,10
0.5748081754051405,2.132665286827597,3,-1,True,VREX,u006,10
0.4064507587104413,1.5080220863169473,3,-1,True,VREX,u007,10
0.4064507587104413,1.5080220863169473,3,-1,True,VREX,u008,10
0.140032784314622,0.5195525584080612,3,-1,True,VREX,u009,10
0.140032784314622,0.5195525584080612,3,-1,True,VREX,u010,10
0.8600555248661244,2.2763499327945285,3,0,True,CORAL,u000,10
0.8636599819779905,2.2858900211575848,3,1,True,CORAL,u001,10
0.0,0.0,3,2,True,CORAL,u002,10
0.1653954608406502,0.437760046047887,3,3,True,CORAL,u003,10
0.0,0.0,3,4,True,CORAL,u004,10
0.8618596377377721,2.2811249642842317,3,-1,True,CORAL,u005,10
0.8618596377377721,2.2811249642842317,3,-1,True,CORAL,u006,10
0.6094267942753598,1.6129989309793011,3,-1,True,CORAL,u007,10
0.6094267942753598,1.6129989309793011,3,-1,True,CORAL,u008,10
0.11695225193789785,0.3095430970929962,3,-1,True,CORAL,u009,10
0.11695225193789785,0.3095430970929962,3,-1,True,CORAL,u010,10
0.10618696692165619,1.7581593412112284,3,0,True,FISHR,u000,10
0.10634978164034518,1.7608550978266417,3,1,True,FISHR,u001,10
0.0,0.0,3,2,True,FISHR,u002,10
0.0894465939958524,1.4809855609621296,3,3,True,FISHR,u003,10
0.0,0.0,3,4,True,FISHR,u004,10
0.10626840546223042,1.7595077357929365,3,-1,True,FISHR,u005,10
0.10626840546223042,1.7595077357929365,3,-1,True,FISHR,u006,10
0.07514311012822467,1.2441598515293735,3,-1,True,FISHR,u007,10
0.07514311012822467,1.2441598515293735,3,-1,True,FISHR,u008,10
0.06324829316850716,1.0472149329956848,3,-1,True,FISHR,u009,10
0.06324829316850716,1.0472149329956848,3,-1,True,FISHR,u010,10
0.8874969705645274,2.2351237197792897,3,0,True,MLDG,u000,10
0.8918706835965096,2.2461387317348493,3,1,True,MLDG,u001,10
0.0,0.0,3,2,True,MLDG,u002,10
0.20597428174791638,0.51873754848586,3,3,True,MLDG,u003,10
0.0,0.0,3,4,True,MLDG,u004,10
0.8896865147399164,2.240637994514001,3,-1,True,MLDG,u005,10
