checkpoint,gradient_norm,hessian_top_eigenvalue,hessian_trace_estimate,hutchinson_probes,method,random_direction_max_delta,random_direction_mean_delta,sam_sharpness_delta,seed,sharpness_rho,source_loss,variant
500,0.35274694628538156,3.0700607242357583,15.811979066494668,4,ERM,4.795193672180176e-05,2.726912498474121e-06,0.003601580858230591,10,0.01,0.37745967507362366,ERM_CANONICAL
500,0.35274694628538156,3.0700607242357583,15.811979066494668,4,ERM,4.795193672180176e-05,2.726912498474121e-06,0.019198596477508545,10,0.05,0.37745967507362366,ERM_CANONICAL
500,0.9222061359417176,4.0152723003970445,22.610797127747723,4,IRMv1,0.0006288886070251465,0.00022752583026885986,0.009323954582214355,10,0.01,0.6733385324478149,IRMv1_CANONICAL
500,0.9222061359417176,4.0152723003970445,22.610797127747723,4,IRMv1,0.0006288886070251465,0.00022752583026885986,0.0486028790473938,10,0.05,0.6733385324478149,IRMv1_CANONICAL
500,0.5160573114890599,1.6923112567979803,5.757098508671277,4,VREX,0.0003026127815246582,5.285441875457764e-05,0.005188703536987305,10,0.01,0.6910167932510376,VREX_LAMBDA10000_ANNEAL100_RESCALE
500,0.5160573114890599,1.6923112567979803,5.757098508671277,4,VREX,0.0003026127815246582,5.285441875457764e-05,0.026417016983032227,10,0.05,0.6910167932510376,VREX_LAMBDA10000_ANNEAL100_RESCALE
500,0.35519258052302033,3.0899303043295907,16.199435175486187,4,CORAL,5.7637691497802734e-05,1.0520219802856445e-05,0.0036260485649108887,10,0.01,0.3785023093223572,CORAL_GAMMA1_SOURCE_ONLY
500,0.35519258052302033,3.0899303043295907,16.199435175486187,4,CORAL,5.7637691497802734e-05,1.0520219802856445e-05,0.019282758235931396,10,0.05,0.3785023093223572,CORAL_GAMMA1_SOURCE_ONLY
500,0.33463569781095925,0.16269680061925174,2.871285698969434,4,FISHR,0.0001913309097290039,0.00011433660984039307,0.003331124782562256,10,0.01,0.6727505326271057,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100
500,0.33463569781095925,0.16269680061925174,2.871285698969434,4,FISHR,0.0001913309097290039,0.00011433660984039307,0.01642554998397827,10,0.05,0.6727505326271057,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100
500,0.36430719187425487,3.138101525823182,20.71213855194644,4,MLDG,6.0170888900756836e-05,-1.2278556823730469e-05,0.0036902427673339844,10,0.01,0.38407519459724426,MLDG_BETA1_INNERLR0P001_ONE_STEP
500,0.36430719187425487,3.138101525823182,20.71213855194644,4,MLDG,6.0170888900756836e-05,-1.2278556823730469e-05,0.019655555486679077,10,0.05,0.38407519459724426,MLDG_BETA1_INNERLR0P001_ONE_STEP
500,0.19443003656203553,0.9123576563992954,0.6239724241025151,4,SPECTRAL_NORM_REG,2.5212764739990234e-05,-9.760260581970215e-06,0.0019356608390808105,10,0.01,0.6698102355003357,SPECTRAL_NORM_REG[lambda=1]
500,0.19443003656203553,0.9123576563992954,0.6239724241025151,4,SPECTRAL_NORM_REG,2.5212764739990234e-05,-9.760260581970215e-06,0.009503662586212158,10,0.05,0.6698102355003357,SPECTRAL_NORM_REG[lambda=1]
500,0.2070600970286623,1.3317382194924863,2.3413657486492117,4,SPECTRAL_REG_2024,6.812810897827148e-05,7.204711437225342e-06,0.002105504274368286,10,0.01,0.4267721176147461,SPECTRAL_REG_2024[lambda=1]
500,0.2070600970286623,1.3317382194924863,2.3413657486492117,4,SPECTRAL_REG_2024,6.812810897827148e-05,7.204711437225342e-06,0.011215448379516602,10,0.05,0.4267721176147461,SPECTRAL_REG_2024[lambda=1]
